User_id,Coupon_id,Date_received,Probability
4129537,9983,20160712,0.038648908
6949378,3429,20160706,0.07442492
2166529,6928,20160727,0.013650167
2166529,1808,20160727,0.035781672
6172162,6500,20160708,0.05310172
4005121,9983,20160706,0.045567156
4347394,9983,20160716,0.039981565
3094273,13602,20160727,0.059959895
5139970,9983,20160729,0.051933858
3237121,13602,20160703,0.035465509
6224386,9983,20160716,0.036744929
6488578,13602,20160712,0.124854893
4164865,9983,20160703,0.029247006
4164865,8059,20160706,0.043884344
5468674,9983,20160713,0.045702038
6258178,9144,20160706,0.134934796
3659521,7341,20160727,0.022007346
3659521,13181,20160717,0.067132451
3659521,13602,20160718,0.062250944
7333378,13602,20160704,0.044043558
7333378,785,20160727,0.076780876
4454914,2978,20160711,0.065024791
6817282,8375,20160724,0.042986346
3149569,10418,20160721,0.088560682
6301186,1715,20160718,0.148816841
6301186,4203,20160708,0.004818052
2891521,13602,20160724,0.06426982
3422977,13602,20160727,0.076911403
4771330,13602,20160726,0.071909816
4513282,11799,20160712,0.018708424
3439873,13602,20160713,0.052075124
6632962,13602,20160727,0.084428939
6632962,10438,20160705,0.009795471
6912514,9934,20160724,0.132435065
2821891,10418,20160702,0.048058799
3872515,10418,20160704,0.052557504
3872515,2978,20160704,0.048800188
2699011,13602,20160705,0.089685362
5406214,3903,20160722,0.084811233
5406214,2440,20160722,0.084811233
3359491,10418,20160725,0.061513248
4147459,5743,20160715,0.072601708
5427718,4912,20160704,0.102204383
5427718,662,20160704,0.133767177
5427718,1528,20160704,0.124126908
2848003,13602,20160702,0.038339379
2726659,10842,20160724,0.268701338
3649795,2978,20160723,0.071793893
3649795,10418,20160701,0.044767979
2612995,9983,20160703,0.020934141
3808003,9983,20160721,0.04594686
3812611,3992,20160721,0.123057099
3425539,3992,20160719,0.080307836
6853126,13181,20160721,0.170200278
4251142,10609,20160707,0.076029022
3442435,13602,20160713,0.046620374
3182851,11986,20160731,0.086763033
7175686,7774,20160706,0.050551562
7175686,9983,20160717,0.047291849
3199747,8059,20160712,0.029807242
3199747,3429,20160718,0.036953949
6140422,6480,20160728,0.230992716
4001029,13602,20160704,0.037089366
3873541,2978,20160718,0.062379562
4603402,5482,20160723,0.07418868
6443530,13602,20160722,0.064242416
3627781,10418,20160713,0.055835141
4913674,8059,20160712,0.053601925
3506437,13602,20160719,0.091905751
2196229,6614,20160717,0.084594641
2329861,13849,20160724,0.125238083
3514117,9967,20160706,0.016737168
5733898,13183,20160705,0.137464898
2480389,2978,20160703,0.099181128
3928837,1904,20160722,0.094727685
3017989,13602,20160730,0.07216401
3017989,9983,20160704,0.033270524
5776906,13602,20160706,0.041006434
6332938,13602,20160724,0.065581969
5568010,8596,20160722,0.260227881
2398981,13602,20160722,0.057687731
3208453,10418,20160713,0.034548009
7205386,13602,20160729,0.116427773
4866574,13602,20160723,0.083497479
4866574,9983,20160725,0.05092634
5394958,2601,20160712,0.024918302
6445582,13602,20160713,0.04825899
3748615,13602,20160709,0.053654153
3748615,11184,20160703,0.036322847
5941774,9983,20160711,0.046972631
2842375,3429,20160725,0.08036503
2324743,10418,20160701,0.041844344
6491662,4654,20160717,0.139466113
3644167,11463,20160710,0.20690249
3644167,11463,20160706,0.311468935
3644167,11463,20160708,0.204001867
3644167,11463,20160711,0.207636649
3644167,11463,20160713,0.173419635
2862343,3004,20160712,0.063795438
2862343,2070,20160721,0.097407531
2862343,7821,20160721,0.147891629
2862343,14,20160731,0.178136333
4676110,9983,20160727,0.026980075
3135751,3992,20160724,0.071384905
4054279,9983,20160729,0.055741052
4192519,13602,20160723,0.056463563
2363143,3780,20160703,0.009877584
2363143,13161,20160703,0.026054034
2363143,2978,20160724,0.080933479
2363143,10438,20160729,0.019337375
3025159,9983,20160703,0.034972603
3025159,10438,20160701,0.008893217
3025159,13602,20160725,0.074965883
6574606,8059,20160729,0.065040915
2771719,13602,20160728,0.088483966
2513671,9983,20160723,0.06256435
7136782,13602,20160714,0.092724741
3568903,8596,20160722,0.117877091
5047822,13602,20160722,0.067308276
3704071,10110,20160716,0.21981771
3704071,10110,20160707,0.411333764
3183367,4132,20160723,0.07398955
4276750,13602,20160726,0.078835068
6402574,9983,20160704,0.036494738
6402574,10418,20160706,0.055885279
6408718,13602,20160724,0.085944079
4587022,8059,20160717,0.081171578
4587022,9983,20160717,0.055364159
3212041,13602,20160715,0.054400826
5903890,13602,20160724,0.070998999
4598290,1904,20160709,0.075323818
3093769,8306,20160728,0.370718261
3093769,8059,20160728,0.116840599
3093769,9983,20160716,0.059872168
4370962,8059,20160722,0.068383607
6208018,2920,20160729,0.085813184
2189065,2096,20160715,0.068092616
4029193,13602,20160703,0.038047791
3119881,493,20160721,0.046359067
3910921,9983,20160712,0.031337933
3910921,13602,20160711,0.049172831
6773266,2096,20160717,0.14384214
4948498,2978,20160725,0.070032258
2347273,13602,20160725,0.070560107
4190473,10284,20160720,0.122265139
3536137,13602,20160728,0.102304388
2358025,13602,20160703,0.022013424
3930889,10438,20160729,0.015547599
3930889,13602,20160704,0.035392405
3930889,2893,20160724,0.418029648
3930889,2893,20160726,0.2401403
4066057,5702,20160716,0.09921352
4066057,13602,20160724,0.099858171
4066057,5702,20160723,0.088361063
4066057,5702,20160709,0.14301979
4070665,10418,20160715,0.061201262
3024649,3992,20160709,0.080903021
6862354,13602,20160731,0.084050728
6078994,10438,20160716,0.010663063
3310345,10438,20160731,0.018925927
6112786,13602,20160714,0.065273217
2930953,2978,20160724,0.064292075
6939154,10418,20160727,0.070543586
6939154,2978,20160727,0.077249263
3208969,3985,20160724,0.39940164
3208969,11876,20160724,0.147368608
