1032	1306
1033	1611
1034	358
1035	1927
1036	2126
1037	1872
1038	1432
1039	1592
1040	258
1041	1927
1042	2126
1043	1872
1044	1509
1045	1674
1046	330
1047	1926
1048	2205
1049	1950
1050	1509
1051	1674
1052	330
1053	3638
1054	1967
1055	1494
1056	1667
1057	414
1058	2208
1059	2333
1060	1916
1061	1455
1062	1615
1063	281
1064	2096
1065	2171
1066	1916
1067	1455
1068	1615
1069	353
1070	2095
1071	2249
1072	1995
1073	1532
1074	1697
1075	353
1076	2095
1077	2249
1078	1783
1079	1382
1080	1597
1081	332
1082	1932
1083	2103
1084	1783
1085	1382
1086	821
1087	165
1088	1737
1089	1967
1090	1727
1091	1324
1092	1545
1093	214
1094	165
1095	1737
1096	2019
1097	1780
1098	1376
1099	1601
1100	260
1101	1898
1102	2019
1103	1780
1104	1376
1105	1579
1106	301
1107	1975
1108	2122
1109	1791
1110	1364
1111	1579
1112	301
1113	1929
1114	1985
1115	1735
1116	1306
1117	1527
1118	183
1119	1929
1120	1985
1121	1735
1122	1357
1123	1583
1124	230
1125	1941
1126	2038
1127	1788
1128	1357
1129	1583
1130	230
1131	2054
1132	2155
1133	1809
1134	1382
1135	1584
1136	307
1137	2054
1138	2155
1139	1809
1140	1325
1141	1532
1142	188
1143	2009
1144	2018
1145	1754
1146	1325
1147	1532
1148	188
1149	285
1150	2004
1151	2080
1152	1815
1153	1385
1154	1597
1155	243
1156	2029
1157	2080
1158	1815
1159	1527
1160	1729
1161	453
1162	544
1163	2217
1164	2368
1165	1982
1166	1527
1167	1729
1168	453
1169	2251
1170	2280
1171	1974
1172	1518
1173	974
1174	500
1175	2194
1176	2280
1177	2101
1178	1643
1179	1867
1180	541
1181	2336
1182	2406
1183	2101
1184	1643
1185	1867
1186	-747
1187	1648
1188	1850
1189	521
1190	316
1191	2313
1192	2365
1193	2071
1194	1623
1195	1843
1196	473
1197	255
1198	2275
1199	2365
1200	2071
1201	1623
1202	1851
1203	482
1204	424
1205	2255
1206	2355
1207	2077
1208	1627
1209	1851
1210	482
1211	2272
1212	2346
1213	1991
1214	1545
1215	1777
1216	413
1217	165
1218	2197
1219	2346
1220	1991
1221	1545
1222	1770
1223	376
1224	115
1225	2159
1226	2243
1227	1968
1228	1519
1229	1770
1230	376
1231	2138
1232	2215
1233	1956
1234	1505
1235	1761
1236	367
1237	266
1238	2121
1239	2215
1240	1956
1241	1523
1242	1787
1243	401
1244	189
1245	2101
1246	2231
1247	1951
1248	1523
1249	1787
1250	401
1251	2139
1252	2131
1253	1932
1254	1503
1255	1785
1256	369
1257	2139
1258	2131
1259	1787
1260	1350
1261	1715
1262	299
1263	1895
1264	1929
1265	1787
1266	1350
1267	1715
1268	299
1269	2062
1270	4953
1271	5168
1272	3576
1273	2771
1274	3585
1275	1540
1276	2062
1277	4953
1278	5168
1279	2983
1280	2541
1281	2859
1282	603
1283	3784
1284	3500
1285	2983
1286	2541
1287	2859
1288	510
1289	895
1290	3222
1291	3401
1292	2887
1293	2428
1294	242
1295	2792
1296	1155
1297	1297
1298	3903
1299	4267
1300	3410
1301	2544
1302	2792
1303	925
1304	3110
1305	3235
1306	2908
1307	2403
